,Originality,Rule.Conciousness,Openness.to.Change,Assertiveness,Social.Confidence,Empathy,Communicativeness,Independence,Rationality,Competitiveness,Concientiousness,Perfectionism,Decisiveness,Apprehension,Creativity,Agreeableness,Acheivement,Extroversion,Resilience,Status
116,6,5,5,3,5,5,6,4,4,7,8,7,4,6,4,5,7,7,4,Graduated
117,4,5,4,4,2,6,7,6,6,6,6,5,4,6,4,4,5,5,4,Graduated
118,4,5,3,4,4,3,9,3,3,4,6,3,1,6,3,4,2,9,3,Graduated
119,6,4,5,5,9,7,9,5,6,8,9,7,3,5,5,8,8,9,4,Graduated
120,2,4,5,3,1,3,3,5,2,2,5,1,3,6,3,1,1,4,4,Graduated
121,6,5,6,6,6,9,7,8,8,7,9,6,3,9,6,7,7,5,1,Graduated
122,6,6,7,6,8,7,1,5,7,6,7,4,5,5,6,8,5,3,5,Graduated
123,6,5,4,6,6,4,9,5,3,2,4,NA,1,5,5,4,1,9,4,Graduated
124,4,6,3,2,2,5,5,9,5,5,6,6,4,8,4,2,6,3,3,Graduated
125,10,9,6,5,8,6,10,10,5,6,8,6,7,9,9,5,8,8,4,Graduated
126,5,6,4,4,4,3,6,6,4,4,5,4,4,6,5,3,3,6,5,Graduated
127,6,5,4,3,5,6,7,4,4,5,6,2,4,9,4,6,3,7,2,Graduated
128,7,7,5,3,6,6,6,6,2,6,8,6,4,9,6,5,6,7,2,Graduated
129,4,3,4,7,6,2,5,7,5,5,4,2,3,7,4,3,3,5,4,Graduated
130,6,7,7,5,4,4,5,5,5,5,6,4,3,5,6,4,4,5,5,Graduated
131,5,5,7,6,4,6,9,9,7,8,9,4,1,3,6,4,7,6,5,Graduated
132,4,6,7,5,7,3,7,8,3,7,6,2,8,6,6,3,5,7,7,Graduated
133,4,5,3,4,4,4,7,5,4,6,6,4,5,5,3,4,5,7,6,Graduated
134,3,5,4,5,5,5,5,8,5,6,7,5,5,7,4,4,6,4,4,Graduated
135,6,5,7,2,7,4,9,8,7,8,4,6,3,6,5,4,6,7,4,Graduated
136,4,4,6,3,5,8,7,5,8,9,9,6,6,7,4,7,8,6,4,Graduated
137,6,5,4,4,4,4,5,5,6,5,7,7,5,7,4,4,6,5,5,Graduated
138,4,5,6,5,9,9,5,6,9,7,10,8,4,8,5,9,8,5,2,Graduated
139,6,6,7,6,6,7,6,5,5,5,5,5,5,4,6,6,4,6,6,Graduated
140,5,7,5,5,8,6,4,9,4,5,7,7,4,4,6,5,7,4,6,Graduated
141,8,5,6,9,8,10,10,6,10,8,6,6,8,4,7,10,7,7,7,Graduated
142,8,7,6,6,5,1,1,10,2,3,9,4,7,7,8,1,6,2,6,Graduated
143,5,4,7,3,7,8,4,9,9,5,9,7,5,4,5,7,8,2,6,Graduated
144,4,4,2,2,2,3,4,7,4,7,4,5,4,9,3,2,5,4,3,Graduated
145,7,7,5,5,4,2,5,6,2,3,6,2,4,6,6,2,3,6,5,Graduated
146,6,8,7,6,5,3,9,9,6,5,7,2,5,7,7,3,5,6,5,Graduated
147,5,3,5,6,4,6,6,8,8,8,9,9,5,8,5,5,9,4,3,Graduated
148,5,6,4,4,3,1,6,7,3,6,5,2,4,9,5,1,4,6,3,Graduated
149,4,5,6,4,7,6,9,6,7,6,7,3,4,8,5,6,5,8,3,Graduated
150,3,7,7,5,6,6,9,8,2,7,7,5,4,7,6,4,6,8,4,Graduated
151,6,9,4,4,4,3,7,5,4,2,5,4,NA,NA,6,3,1,7,7,Graduated
152,6,4,5,7,4,6,9,5,4,6,8,2,5,6,5,5,5,8,5,Graduated
153,4,4,3,4,4,6,7,3,5,6,8,4,3,9,3,6,5,7,2,Graduated
154,6,6,5,7,5,4,4,6,5,5,8,7,6,6,6,4,7,4,6,Graduated
155,4,7,7,8,3,8,9,4,8,9,8,6,7,7,6,7,8,7,5,Graduated
156,4,5,4,4,2,6,7,6,6,6,6,5,4,6,4,4,5,5,4,Graduated
157,6,6,6,6,6,5,5,5,6,5,6,6,3,7,6,6,5,5,3,Graduated
158,4,4,5,4,1,5,4,9,6,6,7,5,1,8,5,2,5,2,1,Graduated
159,4,5,4,6,6,4,7,9,6,6,8,4,4,9,5,3,6,5,3,Graduated
160,5,5,6,4,3,7,7,4,4,5,6,4,4,8,4,5,4,7,3,Graduated
